candidate_key,service_id,query,intent,cluster_id,representative_query_ids,current_url,target_url,url_action,assignment_method,validation_status,review_status,reviewer,rationale
S1|key phrase благоустройство дворов рыбинск|commercial_research,S1,key phrase благоустройство дворов рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|key phrase благоустройство рыбинска|commercial_research,S1,key phrase благоустройство рыбинска,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|key phrase благоустройство ярославской области|commercial_research,S1,key phrase благоустройство ярославской области,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|stroycalc расчет благоустройства участка|commercial_research,S1,stroycalc расчет благоустройства участка,commercial_research,HOLD-94EF07DDD02E,Q000028|Q000030,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|авито благоустройство участка|commercial_research,S1,авито благоустройство участка,commercial_research,SPECIAL-EXTERNAL-EXCLUSION,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,,exclude,explicit_special_owner,explicit_external_noise,reviewed,policy_external_noise,"explicit external brand, marketplace, or domain-noise query excluded"
S1|агенство по благоустройству тутаев|commercial_research,S1,агенство по благоустройству тутаев,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|агентство благоустройство рыбинск|commercial_research,S1,агентство благоустройство рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|ано благоустройство ярославль|commercial_research,S1,ано благоустройство ярославль,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|бесплатный ландшафтный дизайн участка|commercial_research,S1,бесплатный ландшафтный дизайн участка,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство 76 ру|commercial_research,S1,благоустройство 76 ру,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
