cluster_id,service_id,cluster_name,head_query,query_ids,candidate_count,intent,geo_scope,broad_frequency,phrase_frequency,exact_frequency,seasonality,webmaster_impressions,webmaster_clicks,serp_cohesion,target_url,url_action,priority,confidence,rationale,method,evidence,validation_status,review_status,reviewer,review_rationale
FROZEN-268E90FAC815,,frozen owner — drenazh-uchastka,в ярославле есть организация занимающаяся дренажными работами,K000279|K000436|K000479|K000480|K000819|K000889|K001079|K001164|K001165|K001166|K001167|K001168|K001169|K001170|K001171|K001172|K001173|K001174|K001175|K001176|K001177|K001178|K001179|K001180|K001181|K001182|K001183|K001184|K001185|K001186|K001187|K001188|K001189|K001190|K001191|K001192|K001193|K001194|K001195|K001196|K001197|K001198|K001199|K001200|K001201|K001202|K001203|K001204|K001205|K001206|K001207|K001208|K001209|K001210|K001211|K001212|K001213|K001214|K001215|K001216|K001217|K001218|K001219|K001220|K001221|K001222|K001223|K001224|K001225|K001253|K001509|K001578|K001689|K001700|K001745|K001746|K001757|K001759|K001767|K001828|K001927|K001929|K002569|K002570|K002715|K002732|K002869|K003172|K003259|K003265|K003508|K003675|K004851|K005625|K005652|K005753|K005915|K005945|K005946|K005957|K006033|K006086|K006087|K006092|K006098|K006101|K006102|K006284|K006301|K006412|K006413|K006414|K006415|K006501|K006512|K006513|K006525|K006526|K006527|K006528|K006529|K006554|K006564|K006565|K006589|K006590|K006680|K006681|K006750|K006751|K006752|K006760|K006769|K006777|K006790|K006840|K006841|K006842|K006843|K006850|K007008|K007097|K007098|K007199|K007216|K007240|K007251|K007273|K007274|K007275|K007522|K007571|K007630|K007639|K007720|K007795|K007796|K007797,157,frozen_collision,existing_frozen_scope,,,,not_recomputed,386,19,not_applicable,https://exp76.ru/category/drenazh-uchastka/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/drenazh-uchastka/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-5398736839B9,,frozen owner — livnevaya-kanalizatsiya,key phrase ремонт ливневой канализации ростов,K000040|K000215|K000398|K001238|K001393|K001941|K002440|K002441|K002442|K002443|K002444|K002445|K002446|K002447|K002448|K002449|K002450|K002716|K002718|K002719|K002720|K002721|K003275|K003279|K005651|K006159|K006160|K006167|K006291|K006567|K006679|K006846|K007039|K007041|K007279|K007695,36,frozen_collision,existing_frozen_scope,,,,not_recomputed,56,5,not_applicable,https://exp76.ru/category/livnevaya-kanalizatsiya/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-6714C54192CE,,frozen owner — ukladka-trotuarnoy-plitki,авито углич укладка брусчатки,K000066|K000212|K000236|K000237|K000238|K000239|K000399|K000400|K000533|K000534|K000535|K000603|K000604|K001235|K001236|K001237|K001369|K001378|K001382|K001383|K001384|K001523|K001527|K001528|K001538|K001542|K001543|K001551|K001552|K001553|K001561|K001582|K001641|K001642|K001644|K001648|K001650|K001651|K001653|K001655|K001677|K001696|K001711|K001712|K001713|K001715|K001721|K001765|K001800|K001804|K001806|K001838|K001939|K002584|K002613|K002614|K002615|K002616|K002617|K002618|K002619|K002623|K002624|K002625|K002626|K002627|K002631|K002632|K002633|K002634|K002635|K002636|K002637|K002640|K002641|K002643|K002644|K002646|K002647|K002648|K002649|K002651|K002652|K002653|K002654|K002655|K002656|K002657|K002659|K002660|K002661|K002662|K002663|K002665|K002666|K002667|K002668|K002669|K002671|K002672|K002673|K002674|K002675|K002676|K002677|K002678|K002679|K002681|K002683|K002684|K002685|K002686|K002687|K002689|K002690|K002691|K002692|K002693|K002694|K002695|K002696|K002697|K002698|K002701|K002702|K002703|K002704|K002705|K002706|K002707|K002709|K002710|K002711|K002712|K002728|K002730|K002773|K002874|K003418|K004829|K004830|K004850|K004939|K004997|K004998|K004999|K005000|K005001|K005003|K005004|K005548|K005610|K005623|K005624|K005653|K005912|K005998|K005999|K006093|K006107|K006123|K006156|K006293|K006299|K006307|K006308|K006311|K006519|K006520|K006530|K006531|K006532|K006533|K006534|K006552|K006569|K006576|K006577|K006578|K006579|K006599|K006620|K006621|K006622|K006732|K006776|K006780|K006781|K006782|K006785|K006786|K006787|K006788|K006789|K006897|K006976|K006977|K006978|K007040|K007053|K007084|K007085|K007086|K007087|K007088|K007089|K007100|K007101|K007102|K007103|K007105|K007108|K007109|K007110|K007125|K007126|K007127|K007128|K007129|K007130|K007131|K007132|K007133|K007134|K007135|K007136|K007137|K007138|K007139|K007140|K007141|K007142|K007143|K007144|K007145|K007146|K007147|K007148|K007149|K007150|K007151|K007152|K007164|K007176|K007177|K007178|K007179|K007180|K007181|K007224|K007239|K007246|K007247|K007638|K007640|K007641|K007642|K007711|K007715|K007716,259,frozen_collision,existing_frozen_scope,,,,not_recomputed,436,51,not_applicable,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-7D3282BAA29C,,frozen owner — otmostka-vokrug-doma,алиса напиши типовой проект отмостки для кирпичного дома 100м2 и нахождением в г ярославль,K000104|K000154|K000155|K000326|K000541|K000787|K001377|K001379|K001556|K001611|K001658|K002741|K002742|K002743|K002746|K003385|K003394|K003395|K003396|K003397|K003398|K003399|K003400|K003401|K003402|K003403|K003404|K003405|K003406|K003407|K003408|K003409|K003410|K003411|K003412|K003413|K003414|K003415|K003416|K006088|K006103|K006105|K006165|K006426|K006427|K006428|K006429|K006430|K006514|K006515|K006516|K006539|K006540|K006541|K006570|K006571|K006572|K006711|K006754|K006757|K006761|K006762|K006770|K006912|K007048|K007287|K007332|K007635|K007636|K007643|K007742|K007798|K007799|K007800|K007802|K007803|K007804|K007806|K007814,79,frozen_collision,existing_frozen_scope,,,,not_recomputed,134,12,not_applicable,https://exp76.ru/category/otmostka-vokrug-doma/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-DED8C0F5020F,,frozen owner — osushenie-uchastka,какую иву выбрать для осушения участка,K001709|K003381|K003382|K003383|K003384|K005381|K005951|K006095|K007794|K007801,10,frozen_collision,existing_frozen_scope,,,,not_recomputed,13,2,not_applicable,https://exp76.ru/category/osushenie-uchastka/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/osushenie-uchastka/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-F839FE6BFD56,,frozen owner — avtopoliv-na-uchastke,автоматический полив газона под ключ,K000070|K000072|K000073|K000074|K000075|K000076|K000077|K000079|K001484|K002729|K005923|K006153|K006400|K006486|K006588|K007237|K007757,17,frozen_collision,existing_frozen_scope,,,,not_recomputed,19,4,not_applicable,https://exp76.ru/category/avtopoliv-na-uchastke/,frozen,ready,high,Protected category 87-92 owner retained exactly; no new destination is allowed.,manual_architecture_review,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,architecture_reviewed,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
HOLD-01309573C515,S2,газон посевной купить — product_only,газон посевной купить,K000759,1,product_only,Yaroslavl_and_oblast,2,0,0,service_head_24m_dynamics_available,0,0,not_represented,,exclude,backlog,high,Product-only demand has no installation-service destination and remains excluded.,manual_architecture_review,missing_representative_serp:HOLD-01309573C515,architecture_reviewed,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-02B1313DE677,S8,купить трубу в канаву для заезда — product_only,купить трубу в канаву для заезда,K002034|K002035,1,product_only,Yaroslavl_and_oblast,36,0,0,service_head_24m_dynamics_available,0,0,not_represented,,exclude,backlog,high,Product-only demand has no installation-service destination and remains excluded.,manual_architecture_review,missing_representative_serp:HOLD-02B1313DE677,architecture_reviewed,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-07E2BACAC1EA,S1,благоустройство территории рыбинск — commercial_research,благоустройство территории рыбинск,K000035|K000036|K000037|K000080|K000081|K000107|K000177|K000180|K000182|K000183|K000184|K000186|K000187|K000189|K000190|K000192|K000193|K000194|K000195|K000196|K000197|K000198|K000199|K000200|K000202|K000203|K000204|K000207|K000208|K000214|K000217|K000220|K000221|K000538|K000539|K000899|K001861|K001873|K001888|K002145|K002150|K002151|K002152|K002153|K002154|K002156|K002157|K002327|K002328|K005631|K005916|K005925|K005989|K006106|K006274|K006275|K006276|K006296|K006303|K006372|K006373|K006517|K006518|K006663|K006666|K006799|K006946|K007538|K007572|K007589|K007791|K007792,72,commercial_research,Yaroslavl_and_oblast,308,0,0,service_head_24m_dynamics_available,103,0,not_represented,https://exp76.ru/services/,merge,ready,medium,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.,manual_architecture_review,missing_representative_serp:HOLD-07E2BACAC1EA,architecture_reviewed,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
HOLD-0D178048D6E9,S4,цена обрезки дерева — transactional,цена обрезки дерева,K001359|K001990|K003031|K003110|K006755|K006756|K007189|K007190|K007212|K007213|K007214|K007215|K007632|K007633,10,transactional,Yaroslavl_and_oblast,25,0,0,service_head_24m_dynamics_available,0,0,not_represented,https://exp76.ru/obrezka-derevev-i-kustarnikov/,merge,blocked_facts,medium,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping.",manual_architecture_review,missing_representative_serp:HOLD-0D178048D6E9|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/ukhod-za-sadom.json#seo.description+services.items[Обрезка],architecture_reviewed,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
HOLD-136ED0AAB28A,S4,обрезка деревьев схема — informational,обрезка деревьев схема,K001524|K001525|K001605|K001606|K002971|K002972|K003034|K003035|K003111|K003141|K003142|K006847|K006848|K006849,8,informational,Yaroslavl_and_oblast,19,0,0,service_head_24m_dynamics_available,0,0,not_represented,https://exp76.ru/obrezka-derevev-shema/,article,backlog,medium,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",manual_architecture_review,missing_representative_serp:HOLD-136ED0AAB28A,architecture_reviewed,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
