destination_id,service_id,page_role,parent_destination_id,current_url,proposed_url,canonical_url,primary_cluster_id,source_cluster_ids,url_action,publication_status,evidence_refs,review_status,reviewer,rationale
FROZEN-268E90FAC815,,frozen,,https://exp76.ru/category/drenazh-uchastka/,,https://exp76.ru/category/drenazh-uchastka/,FROZEN-268E90FAC815,FROZEN-268E90FAC815,frozen,ready,protected_owner:https://exp76.ru/category/drenazh-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-5398736839B9,,frozen,,https://exp76.ru/category/livnevaya-kanalizatsiya/,,https://exp76.ru/category/livnevaya-kanalizatsiya/,FROZEN-5398736839B9,FROZEN-5398736839B9,frozen,ready,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-6714C54192CE,,frozen,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,FROZEN-6714C54192CE,FROZEN-6714C54192CE,frozen,ready,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-7D3282BAA29C,,frozen,,https://exp76.ru/category/otmostka-vokrug-doma/,,https://exp76.ru/category/otmostka-vokrug-doma/,FROZEN-7D3282BAA29C,FROZEN-7D3282BAA29C,frozen,ready,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-DED8C0F5020F,,frozen,,https://exp76.ru/category/osushenie-uchastka/,,https://exp76.ru/category/osushenie-uchastka/,FROZEN-DED8C0F5020F,FROZEN-DED8C0F5020F,frozen,ready,protected_owner:https://exp76.ru/category/osushenie-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-F839FE6BFD56,,frozen,,https://exp76.ru/category/avtopoliv-na-uchastke/,,https://exp76.ru/category/avtopoliv-na-uchastke/,FROZEN-F839FE6BFD56,FROZEN-F839FE6BFD56|SERP-92449D7EF3C6,frozen,ready,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
S4-ARTICLE-PRUNING-GUIDE,S4,article,S4-HUB,,https://exp76.ru/obrezka-derevev-shema/,https://exp76.ru/obrezka-derevev-shema/,HOLD-136ED0AAB28A,HOLD-136ED0AAB28A|HOLD-32452491B993,article,backlog,raw/article-serp/yandex-api-Q000142.jsonl|Q000142,reviewed,codex-2026-08-28,"Выдача полностью информационная: инструкции, схемы и методические материалы. Отдельная статья отвечает учебному интенту и не заменяет услугу обрезки. Редакционная граница: Сузить материал до плодовых деревьев и базовых схем; коммерческую обрезку оставить дочерней услуге"
S2-ARTICLE-15A8258BC551,S2,article,S2-HUB,,https://exp76.ru/ustrojstvo-gazona-shema/,https://exp76.ru/ustrojstvo-gazona-shema/,HOLD-15A8258BC551,HOLD-15A8258BC551,article,backlog,raw/article-serp/yandex-api-Q000143.jsonl|Q000143,reviewed,codex-2026-08-28,"Девять из десяти результатов — инструкции или технологические материалы. Пересечение с запросом про укладку рулонного газона составляет один URL, поэтому интенты разделяются. Редакционная граница: Раскрыть основание и устройство посевного газона; рулонную укладку вынести в отдельный материал"
S2-ARTICLE-182825428CBD,S2,article,S2-HUB,,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,HOLD-182825428CBD,HOLD-182825428CBD,article,backlog,raw/article-serp/yandex-api-Q000144.jsonl|Q000144,reviewed,codex-2026-08-28,Все десять результатов — самостоятельные руководства по укладке рулонного газона. Запрос имеет устойчивый отдельный информационный формат. Редакционная граница: Сделать пошаговую инструкцию по рулонному газону и вести на услугу укладки
S1-ARTICLE-505521C7EF8C,S1,article,S1-HUB,,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-za-sotku/,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-za-sotku/,HOLD-505521C7EF8C,HOLD-505521C7EF8C|HOLD-72FBB49E67C8,article,backlog,raw/article-serp/yandex-api-Q000145.jsonl|Q000145|raw/article-serp/yandex-api-Q000147.jsonl|Q000147|exact_url_overlap=3,reviewed,codex-2026-08-28,Выдача состоит из калькуляторов и разборов бюджета; exp76.ru уже находится на четвёртом месте с калькулятором. Отдельный расчётный гайд поддержит существующий инструмент. Редакционная граница: Исправить опечатку «са» на «за» в title H1 и slug; связать с существующим калькулятором без обещания фиксированной цены
