keyword_id,query_raw,query_normalized,service_id,intent,relevance,exclusion_reason,geo,entities,frozen_collision,owner_url,sources,seed,region,device,broad_frequency,phrase_frequency,exact_frequency,impressions,clicks,ctr,avg_position,current_url,collected_at,review_status,final_decision,review_reason
K000040,key_phrase : ремонт ливневой канализации ростов,key phrase ремонт ливневой канализации ростов,,commercial_research,frozen_collision,,,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,1,0,0.0,41.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K000066,авито углич укладка брусчатки,авито углич укладка брусчатки,,commercial_research,frozen_collision,,Углич,frozen:paving,true,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,webmaster,,,all,,,,4,1,25.0,5.75,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K000070,автоматический полив газона под ключ,автоматический полив газона под ключ,S2,transactional,manual_review,,,service:S2|frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,wordstat,газон под ключ,Russia_discovery,all,29,,,,,,,,2026-08-20T18:42:51+03:00,reviewed,frozen_owner,mixed_frozen_collision
K000072,автополив в ярославле,автополив в ярославле,,commercial_research,frozen_collision,,,frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,webmaster,,,all,,,,2,0,0.0,6.5,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K000073,автополив газона под ключ,автополив газона под ключ,S2,transactional,manual_review,,,service:S2|frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,wordstat,газон под ключ,Russia_discovery,all,64,,,,,,,,2026-08-20T18:42:51+03:00,reviewed,frozen_owner,mixed_frozen_collision
K000074,автополив газонов ярославль,автополив газонов ярославль,S2,commercial_research,manual_review,,Ярославль,service:S2|frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,webmaster,,,all,,,,1,0,0.0,14.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,mixed_frozen_collision
K000075,автополив для газона цена под ключ,автополив для газона цена под ключ,S2,transactional,manual_review,,,service:S2|frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,wordstat,газон под ключ,Russia_discovery,all,36,,,,,,,,2026-08-20T18:42:51+03:00,reviewed,frozen_owner,mixed_frozen_collision
K000076,автополив на участке под ключ,автополив на участке под ключ,,transactional,frozen_collision,,,frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,webmaster,,,all,,,,2,0,0.0,10.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K000077,автополив на участке рыбинск,автополив на участке рыбинск,,commercial_research,frozen_collision,,Рыбинск,frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,webmaster,,,all,,,,1,1,100.0,3.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K000079,автополив ярославль,автополив ярославль,,commercial_research,frozen_collision,,Ярославль,frozen:irrigation,true,https://exp76.ru/category/avtopoliv-na-uchastke/,webmaster,,,all,,,,2,0,0.0,12.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
