destination_id,service_id,page_role,parent_destination_id,title,primary_query,regional_monthly_frequency,current_url,proposed_url,canonical_url,primary_cluster_id,source_cluster_ids,url_action,publication_status,evidence_refs,review_status,reviewer,rationale,serp_top_titles
S9-ARTICLE-STUMP-DIY,S9,article,S9-HUB,Как избавиться от пня на участке: способы и ограничения,корчевание пней своими руками,14,,https://exp76.ru/kak-izbavitsja-ot-pnja-na-uchastke/,https://exp76.ru/kak-izbavitsja-ot-pnja-na-uchastke/,S9-ARTICLE-STUMP-DIY,S9-ARTICLE-STUMP-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=14; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: сравнить самостоятельные способы и риски; заказ корчевания и расчёт оставить дочерней услуге.,Как избавиться от пня на участке: лучшие способы... | Как избавиться от пня на участке: 5 способов | ЧАСТЬ 3. Корчевание — DRIVE2
S9-ARTICLE-OVERGROWN-SITE,S9,article,S9-HUB,С чего начать расчистку заросшего участка,как расчистить заросший участок от кустарника и деревьев,0,,https://exp76.ru/kak-raschistit-zarosshij-uchastok/,https://exp76.ru/kak-raschistit-zarosshij-uchastok/,S9-ARTICLE-OVERGROWN-SITE,S9-ARTICLE-OVERGROWN-SITE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать порядок обследования и подготовки; коммерческую расчистку оставить дочерней услуге.,Как разработать заросший участок - с чего начать работы... | Как я расчистил свой участок от деревьев для... | DRIVE2 | Как правильно расчистить запущенный участок
S10-ARTICLE-POND-DIY,S10,article,S10-HUB,Как сделать декоративный пруд на участке,как сделать декоративный пруд на участке,0,,https://exp76.ru/kak-sdelat-dekorativnyj-prud-na-uchastke/,https://exp76.ru/kak-sdelat-dekorativnyj-prud-na-uchastke/,S10-ARTICLE-POND-DIY,S10-ARTICLE-POND-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: раскрыть этапы и типовые ошибки без обещания универсальной конструкции; проектирование и создание оставить услуге.,Пруд своими руками на даче: как сделать правильно | Планирование | Выбор материала
S10-ARTICLE-POND-CARE,S10,article,S10-HUB,Уход за декоративным прудом по сезонам,уход за декоративным прудом на участке,0,,https://exp76.ru/uhod-za-dekorativnym-prudom/,https://exp76.ru/uhod-za-dekorativnym-prudom/,S10-ARTICLE-POND-CARE,S10-ARTICLE-POND-CARE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: описать эксплуатационный уход; не выдавать очистку запущенных водоёмов за подтверждённую услугу компании.,Как создать декоративный пруд и ухаживать за ним... | Летний уход за декоративным прудом на даче | Искусственный пруд на участке: как обустроить...
S11-ARTICLE-PRESSURE,S11,article,S11-HUB,Туманообразование высокого и низкого давления: в чём разница,система туманообразования высокого и низкого давления отличия,0,,https://exp76.ru/sistemy-tumanoobrazovanija-vysokogo-i-nizkogo-davlenija/,https://exp76.ru/sistemy-tumanoobrazovanija-vysokogo-i-nizkogo-davlenija/,S11-ARTICLE-PRESSURE,S11-ARTICLE-PRESSURE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: сравнить принципы и сценарии без неподтверждённых характеристик оборудования; подбор и монтаж оставить хабу.,Разница между системами туманообразования... | В чем разница туманообразующих систем низкого... | Системы туманообразования высокого и низкого...
S12-ARTICLE-PILE-PROS-CONS,S12,article,S12-HUB,"Фундамент на бетонных сваях: плюсы, минусы и ограничения",фундамент на бетонных сваях плюсы и минусы,0,,https://exp76.ru/fundament-na-betonnyh-svajah-pljusy-i-minusy/,https://exp76.ru/fundament-na-betonnyh-svajah-pljusy-i-minusy/,S12-ARTICLE-PILE-PROS-CONS,S12-ARTICLE-PILE-PROS-CONS,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать критерии обсуждения без расчёта несущей способности и неподтверждённых технических обещаний; монтаж оставить услуге.,"Плюсы и минусы фундамента из бетонных свай | Дзен | Дом на бетонных сваях: особенности, плюсы и минусы | В чем минус фундамента из забивных ж/б свай"
S13-ARTICLE-CARPORT-DIY,S13,article,S13-HUB,Навес для автомобиля своими руками: что учесть до строительства,навес для автомобиля своими руками из металла чертежи,5,,https://exp76.ru/naves-dlja-avtomobilja-svoimi-rukami/,https://exp76.ru/naves-dlja-avtomobilja-svoimi-rukami/,S13-ARTICLE-CARPORT-DIY,S13-ARTICLE-CARPORT-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=5; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: объяснить исходные данные и риски самостроя без публикации универсального расчёта; изготовление оставить услуге.,"Как сделать навес для машины из профильной трубы... | Навес для машины своими руками: как сделать, виды... | Навес для машины из профильной трубы: Инструкция по..."
S13-ARTICLE-POLYCARBONATE-DIY,S13,article,S13-HUB,"Навес из поликарбоната, примыкающий к дому: планирование",навес к дому из поликарбоната своими руками,0,,https://exp76.ru/naves-iz-polikarbonata-k-domu-svoimi-rukami/,https://exp76.ru/naves-iz-polikarbonata-k-domu-svoimi-rukami/,S13-ARTICLE-POLYCARBONATE-DIY,S13-ARTICLE-POLYCARBONATE-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,"Яндекс показывает отдельную информационную выдачу. Информационная граница: раскрыть примыкание, водоотвод и исходные размеры без расчётных обещаний; проектирование и монтаж оставить услуге.","Делаем навес из поликарбоната, пристроенный к дому | Навес к дому из поликарбоната своими руками | Как сделать навес к дому своими руками: бюджетные..."
S14-ARTICLE-BRICK-GRILL-DIY,S14,article,S14-HUB,"Кирпичный мангал своими руками: подготовка, схема и ошибки",кирпичный мангал своими руками чертежи и фото пошаговая инструкция,1,,https://exp76.ru/kirpichnyj-mangal-svoimi-rukami/,https://exp76.ru/kirpichnyj-mangal-svoimi-rukami/,S14-ARTICLE-BRICK-GRILL-DIY,S14-ARTICLE-BRICK-GRILL-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=1; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать учебную последовательность и требования безопасности; профессиональную кладку оставить дочерней услуге.,"Печь барбекю из кирпича: 7 проектов с чертежами... | Дзен | Мангал из кирпича: 44 чертежа, 18 проектов + фото | Мангал из кирпича своими руками - пошаговая..."
S14-ARTICLE-HEATING-STOVE-DIY,S14,article,S14-HUB,Кладка отопительной печи: что проверить до начала работ,кладка отопительной печи своими руками,0,,https://exp76.ru/kladka-otopitelnoj-pechi-svoimi-rukami/,https://exp76.ru/kladka-otopitelnoj-pechi-svoimi-rukami/,S14-ARTICLE-HEATING-STOVE-DIY,S14-ARTICLE-HEATING-STOVE-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: объяснить подготовку и риски без универсальной порядовки для любого дома; кладку оставить дочерней услуге.,Как сложить печь из кирпича своими руками: пошаговая... | Кладка простой печи из кирпича своими руками | Как сложить печь своими руками: порядовка...
S15-ARTICLE-DEMOLITION-PERMIT,S15,article,S15-HUB,Нужно ли разрешение на снос частного дома,нужно ли разрешение на снос частного дома,1,,https://exp76.ru/nuzhno-li-razreshenie-na-snos-chastnogo-doma/,https://exp76.ru/nuzhno-li-razreshenie-na-snos-chastnogo-doma/,S15-ARTICLE-DEMOLITION-PERMIT,S15-ARTICLE-DEMOLITION-PERMIT,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=1; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: перед публикацией проверить актуальные официальные нормы и описать порядок документов; сами работы оставить услуге.,Как снести старый дом на своем участке? – Инструкции... | Как правильно снести загородный дом | РБК Недвижимость | Как снести дом и снять его с кадастрового учёта
