destination_id,service_id,page_role,title,slug,query,parent_hub,owner_wp_id,owner_current_url,current_url,target_url,url_action,current_wp_id,current_post_type,target_template,business_evidence,semantic_evidence,included_intent,excluded_primary_intents,boundary,publication_status
S9-HUB,S9,hub,"Расчистка участка, спил и корчевание",vykorchevyvanie-pnejj-spil-derevev,спил деревьев и корчевание пней ярославль,,6870,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,reuse,6870,page,servicepost.php,business_source:wp-rest/pages/6870#content[obrezka-i-spil-derevev-i-kustarnikov+vykorchevyvanie-pnej],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001001|YS001002;status=queued_not_collected,"удаление деревьев, корчевание пней и расчистка древесно-кустарниковой растительности",обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,"Включено: удаление деревьев, корчевание пней и расчистка древесно-кустарниковой растительности. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",semantic_collection_queued
S9-CHILD-TREE-REMOVAL,S9,child_service,Спил и удаление деревьев,spil-i-udalenie-derevev,спил деревьев ярославль,S9-HUB,6870,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/spil-i-udalenie-derevev/,create,,,newservicepost.php,business_source:wp-rest/pages/6870#content[spil-derevev],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001003|YS001004;status=queued_not_collected,спил и удаление дерева целиком или по частям,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,"Включено: спил и удаление дерева целиком или по частям. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",semantic_collection_queued
S9-CHILD-STUMPS,S9,child_service,Корчевание пней,korchevanie-pnej,корчевание пней ярославль,S9-HUB,6870,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/korchevanie-pnej/,create,,,newservicepost.php,business_source:wp-rest/pages/6870#content[vykorchevyvanie-pnej],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001005|YS001006;status=queued_not_collected,корчевание и удаление пней,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,"Включено: корчевание и удаление пней. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",semantic_collection_queued
S9-CHILD-CLEARING,S9,child_service,Расчистка участка от деревьев и кустарников,raschistka-uchastka-ot-derevev-i-kustarnikov,расчистка участка от деревьев и кустарников ярославль,S9-HUB,6870,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/raschistka-uchastka-ot-derevev-i-kustarnikov/,create,,,newservicepost.php,business_source:wp-rest/pages/6870#content[spil-derevev-i-kustarnikov+vykorchevyvanie-pnej],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001007|YS001008;status=queued_not_collected,расчистка древесной и кустарниковой растительности,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,"Включено: расчистка древесной и кустарниковой растительности. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",semantic_collection_queued
S10-HUB,S10,hub,"Пруды, водоёмы и водные объекты",sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev,пруд и водные объекты на участке ярославль,,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,reuse,6900,page,servicepost.php,business_source:wp-rest/pages/6900#content[bassejny+prudy-i-ozera+fontany+ruchji+vodopady],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001009|YS001010;status=queued_not_collected,создание перечисленных live-страницей частных ландшафтных водных объектов,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: создание перечисленных live-страницей частных ландшафтных водных объектов. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
S10-CHILD-DECORATIVE-POND,S10,child_service,Декоративный пруд на участке,dekorativnyj-prud-na-uchastke,декоративный пруд под ключ ярославль,S10-HUB,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/dekorativnyj-prud-na-uchastke/,create,,,newservicepost.php,business_source:wp-rest/pages/6900#content[prudy-i-ozera],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001011|YS001012;status=queued_not_collected,создание декоративного водоёма на частном участке,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: создание декоративного водоёма на частном участке. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
S10-CHILD-SWIMMING-POND,S10,child_service,Плавательный пруд,plavatelnyj-prud-na-uchastke,плавательный пруд на участке ярославль,S10-HUB,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/plavatelnyj-prud-na-uchastke/,create,,,newservicepost.php,business_source:wp-rest/pages/6900#content[bassejny+prudy+filtracija],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001013|YS001014;status=queued_not_collected,создание купального пруда с фильтрацией,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: создание купального пруда с фильтрацией. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
S10-CHILD-WATERFALL-CASCADE,S10,child_service,Водопад и каскад на участке,vodopad-i-kaskad-na-uchastke,искусственный водопад на участке ярославль,S10-HUB,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/vodopad-i-kaskad-na-uchastke/,create,,,newservicepost.php,business_source:wp-rest/pages/6900#content[vodopady],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001015|YS001016;status=queued_not_collected,искусственный водопад или каскад как частный ландшафтный объект,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: искусственный водопад или каскад как частный ландшафтный объект. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
S10-CHILD-STREAM,S10,child_service,Декоративный ручей,dekorativnyj-ruchej-na-uchastke,декоративный ручей на участке ярославль,S10-HUB,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/dekorativnyj-ruchej-na-uchastke/,create,,,newservicepost.php,business_source:wp-rest/pages/6900#content[ruchji],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001017|YS001018;status=queued_not_collected,создание искусственного декоративного ручья,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: создание искусственного декоративного ручья. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
S10-CHILD-FOUNTAIN,S10,child_service,Фонтан на участке,fontan-na-uchastke,фонтан под ключ на участке ярославль,S10-HUB,6900,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/fontan-na-uchastke/,create,,,newservicepost.php,business_source:wp-rest/pages/6900#content[fontany],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001019|YS001020;status=queued_not_collected,создание частного ландшафтного фонтана,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,"Включено: создание частного ландшафтного фонтана. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",semantic_collection_queued
