query_normalized,query,service_id,destination_id,page_role,assignment_status,conflicting_destination_ids,source_query_ids,source_seeds
декоративный водоем на участке,декоративный водоем на участке,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
декоративный пруд в саду,декоративный пруд в саду,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
декоративный пруд на участке,декоративный пруд на участке,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
декоративный пруд на участке дизайн,декоративный пруд на участке дизайн,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
декоративный пруд на участке своими руками,декоративный пруд на участке своими руками,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
как сделать декоративный пруд на участке,как сделать декоративный пруд на участке,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
пруд на участке своими руками декоративный из подручных,пруд на участке своими руками декоративный из подручных,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
пруд садовый своими руками на участке фото,пруд садовый своими руками на участке фото,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
садовый пруд своими руками на участке,садовый пруд своими руками на участке,S10,S10-CHILD-DECORATIVE-POND,child_service,candidate,,YS001011,декоративный пруд на участке
как сделать фонтан на участке,как сделать фонтан на участке,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на дачном участке,фонтан на дачном участке,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на дачном участке своими руками,фонтан на дачном участке своими руками,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке,фонтан на участке,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке загородного дома,фонтан на участке загородного дома,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке загородного дома своими руками,фонтан на участке загородного дома своими руками,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке загородного дома фото,фонтан на участке загородного дома фото,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке своими,фонтан на участке своими,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке своими руками,фонтан на участке своими руками,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
фонтан на участке своими руками в домашних условиях,фонтан на участке своими руками в домашних условиях,S10,S10-CHILD-FOUNTAIN,child_service,candidate,,YS001019,фонтан на участке
декоративный ручей,декоративный ручей,S10,S10-CHILD-STREAM,child_service,candidate,,YS001017,декоративный ручей
декоративный ручей на даче,декоративный ручей на даче,S10,S10-CHILD-STREAM,child_service,candidate,,YS001017,декоративный ручей
декоративный ручей на даче своими руками,декоративный ручей на даче своими руками,S10,S10-CHILD-STREAM,child_service,candidate,,YS001017,декоративный ручей
плавательный пруд,плавательный пруд,S10,S10-CHILD-SWIMMING-POND,child_service,candidate,,YS001013,плавательный пруд
плавательный пруд на участке,плавательный пруд на участке,S10,S10-CHILD-SWIMMING-POND,child_service,candidate,,YS001013,плавательный пруд
плавательный пруд с биоплато,плавательный пруд с биоплато,S10,S10-CHILD-SWIMMING-POND,child_service,candidate,,YS001013,плавательный пруд
пруд для плавания,пруд для плавания,S10,S10-CHILD-SWIMMING-POND,child_service,candidate,,YS001013,плавательный пруд
комплект системы туманообразования высокого давления,комплект системы туманообразования высокого давления,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
монтаж системы туманообразования,монтаж системы туманообразования,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
насос для системы туманообразования,насос для системы туманообразования,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы тумана,системы тумана,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы туманообразования,системы туманообразования,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы туманообразования высокого давления,системы туманообразования высокого давления,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы туманообразования для теплиц,системы туманообразования для теплиц,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы туманообразования купить,системы туманообразования купить,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
системы туманообразования низкого давления,системы туманообразования низкого давления,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
форсунки для системы туманообразования,форсунки для системы туманообразования,S11,S11-HUB,hub,candidate,,YS001021,системы туманообразования
фундамент на железобетонных сваях для частного дома,фундамент на железобетонных сваях для частного дома,S12,S12-CHILD-PRIVATE-HOUSE,child_service,needs_destination_review,S12-CHILD-PRIVATE-HOUSE|S12-HUB,YS001033,фундамент на жб сваях для частного дома
фундамент на бетонных сваях,фундамент на бетонных сваях,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на бетонных сваях для частного дома,фундамент на бетонных сваях для частного дома,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на бетонных сваях плюсы и минусы,фундамент на бетонных сваях плюсы и минусы,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на жби сваях,фундамент на жби сваях,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на железобетонных сваях,фундамент на железобетонных сваях,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на железобетонных сваях в нижнем новгороде,фундамент на железобетонных сваях в нижнем новгороде,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент на железобетонных сваях для частного дома,фундамент на железобетонных сваях для частного дома,S12,S12-HUB,hub,needs_destination_review,S12-CHILD-PRIVATE-HOUSE|S12-HUB,YS001029,фундамент на железобетонных сваях
