destination_id,service_id,page_role,parent_destination_id,current_url,proposed_url,canonical_url,primary_cluster_id,source_cluster_ids,url_action,publication_status,evidence_refs,review_status,reviewer,rationale
FROZEN-268E90FAC815,,frozen,,https://exp76.ru/category/drenazh-uchastka/,,https://exp76.ru/category/drenazh-uchastka/,FROZEN-268E90FAC815,FROZEN-268E90FAC815,frozen,ready,protected_owner:https://exp76.ru/category/drenazh-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-5398736839B9,,frozen,,https://exp76.ru/category/livnevaya-kanalizatsiya/,,https://exp76.ru/category/livnevaya-kanalizatsiya/,FROZEN-5398736839B9,FROZEN-5398736839B9,frozen,ready,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-6714C54192CE,,frozen,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,FROZEN-6714C54192CE,FROZEN-6714C54192CE,frozen,ready,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-7D3282BAA29C,,frozen,,https://exp76.ru/category/otmostka-vokrug-doma/,,https://exp76.ru/category/otmostka-vokrug-doma/,FROZEN-7D3282BAA29C,FROZEN-7D3282BAA29C,frozen,ready,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-DED8C0F5020F,,frozen,,https://exp76.ru/category/osushenie-uchastka/,,https://exp76.ru/category/osushenie-uchastka/,FROZEN-DED8C0F5020F,FROZEN-DED8C0F5020F,frozen,ready,protected_owner:https://exp76.ru/category/osushenie-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-F839FE6BFD56,,frozen,,https://exp76.ru/category/avtopoliv-na-uchastke/,,https://exp76.ru/category/avtopoliv-na-uchastke/,FROZEN-F839FE6BFD56,FROZEN-F839FE6BFD56|SERP-92449D7EF3C6,frozen,ready,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
S4-ARTICLE-PRUNING-GUIDE,S4,article,S4-HUB,,https://exp76.ru/obrezka-derevev-shema/,https://exp76.ru/obrezka-derevev-shema/,HOLD-136ED0AAB28A,HOLD-136ED0AAB28A|HOLD-32452491B993,article,backlog,missing_representative_serp:HOLD-136ED0AAB28A,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
S2-ARTICLE-15A8258BC551,S2,article,S2-HUB,,https://exp76.ru/ustrojstvo-gazona-shema/,https://exp76.ru/ustrojstvo-gazona-shema/,HOLD-15A8258BC551,HOLD-15A8258BC551,article,backlog,missing_representative_serp:HOLD-15A8258BC551,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
S2-ARTICLE-182825428CBD,S2,article,S2-HUB,,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,HOLD-182825428CBD,HOLD-182825428CBD,article,backlog,missing_representative_serp:HOLD-182825428CBD,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
S1-ARTICLE-505521C7EF8C,S1,article,S1-HUB,,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/,HOLD-505521C7EF8C,HOLD-505521C7EF8C,article,backlog,missing_representative_serp:HOLD-505521C7EF8C,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
