query_normalized,query,service_id,destination_id,page_role,assignment_status,conflicting_destination_ids,source_query_ids,source_seeds
3d визуализация ландшафтного дизайна,3d визуализация ландшафтного дизайна,S1,S1-CHILD-3D,child_service,candidate,,YS000511,3d-визуализация ландшафтного дизайна
дендроплан земельного участка,дендроплан земельного участка,S1,S1-CHILD-DENDROPLAN,child_service,candidate,,YS000509,дендроплан участка
дендроплан участка,дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,candidate,,YS000509,дендроплан участка
дендроплан участка 10 соток,дендроплан участка 10 соток,S1,S1-CHILD-DENDROPLAN,child_service,candidate,,YS000509,дендроплан участка
как сделать дендроплан участка,как сделать дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,candidate,,YS000509,дендроплан участка
что такое дендроплан участка,что такое дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,candidate,,YS000509,дендроплан участка
генеральный план земельного участка,генеральный план земельного участка,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план земельного участка по кадастровому номеру,генеральный план земельного участка по кадастровому номеру,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план земельного участка это,генеральный план земельного участка это,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка,генеральный план участка,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка в автокаде скачать,генеральный план участка в автокаде скачать,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка ландшафтный дизайн,генеральный план участка ландшафтный дизайн,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка с домом,генеральный план участка с домом,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка чертеж,генеральный план участка чертеж,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка чертеж с размерами,генеральный план участка чертеж с размерами,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
генеральный план участка это,генеральный план участка это,S1,S1-CHILD-MASTERPLAN,child_service,candidate,,YS000507,генеральный план участка
проект вертикальной планировки участка,проект вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,candidate,,YS000513,проект вертикальной планировки участка
проект вертикальной планировки участка пример,проект вертикальной планировки участка пример,S1,S1-CHILD-RELIEF,child_service,candidate,,YS000513,проект вертикальной планировки участка
схема вертикальной планировки участка,схема вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,candidate,,YS000513,проект вертикальной планировки участка
эскизный план участка,эскизный план участка,S1,S1-CHILD-SKETCH,child_service,candidate,,YS000505,эскизный проект участка
эскизный проект участка,эскизный проект участка,S1,S1-CHILD-SKETCH,child_service,candidate,,YS000505,эскизный проект участка
рулонный газон под ключ,рулонный газон под ключ,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ fangarden,рулонный газон под ключ fangarden,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ gazontrad.ru/services/ukladyvaem-rulonnyj-gazon-daem-rekomendacii/,рулонный газон под ключ gazontrad.ru/services/ukladyvaem-rulonnyj-gazon-daem-rekomendacii/,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ москва,рулонный газон под ключ москва,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена,рулонный газон под ключ цена,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена за м2,рулонный газон под ключ цена за м2,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена за м2 московская область,рулонный газон под ключ цена за м2 московская область,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена за м2 с укладкой,рулонный газон под ключ цена за м2 с укладкой,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена за сотку,рулонный газон под ключ цена за сотку,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
рулонный газон под ключ цена за сотку в московской области,рулонный газон под ключ цена за сотку в московской области,S2,S2-CHILD-ROLL,child_service,candidate,,YS000515,рулонный газон под ключ
