pair_id,left_query_id,right_query_id,left_query,right_query,left_service_id,right_service_id,left_intent,right_intent,overlap,shared_urls,decision,owner_action,validation_status,review_status,reviewer,rationale
PAIR-2DBC55B17F37,Q000003,Q000023,благоустройство в рыбинске,ландшафтный дизайн рыбинск,S1,S1,commercial_research,commercial_research,2,https://avito.ru/rybinsk/predlozheniya_uslug/|https://exp76.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-CDD6D30D005E,Q000004,Q000005,благоустройство дачного участка под ключ,благоустройство участка,S1,S1,transactional,commercial_research,4,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-BD34C52AC9BF,Q000004,Q000006,благоустройство дачного участка под ключ,благоустройство участка участка ярославль,S1,S1,transactional,commercial_research,5,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.dizajn-landshaftnyj.ru/blagoustrojstvo-uchastka/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-D66CE5353E52,Q000004,Q000007,благоустройство дачного участка под ключ,благоустройство участка ярославская область,S1,S1,transactional,commercial_research,3,https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-A3A22B222A69,Q000004,Q000008,благоустройство дачного участка под ключ,благоустройство участков ярославль,S1,S1,transactional,commercial_research,4,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-085510987278,Q000004,Q000009,благоустройство дачного участка под ключ,благоучтройство дачного участка в ярославской области,S1,S1,transactional,commercial_research,3,https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.dizajn-landshaftnyj.ru/blagoustrojstvo-uchastka/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-09F402336907,Q000004,Q000010,благоустройство дачного участка под ключ,дизайн проект участка,S1,S1,transactional,commercial_research,3,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.mslandshaft.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-1A2555073A36,Q000004,Q000011,благоустройство дачного участка под ключ,заказать дизайн проект участка,S1,S1,transactional,transactional,3,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.mslandshaft.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-BEBF5AFB9C26,Q000004,Q000015,благоустройство дачного участка под ключ,комплексное благоустройство частных территорий,S1,S1,transactional,commercial_research,5,https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.mslandshaft.ru/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
PAIR-A3BB22B223E1,Q000004,Q000017,благоустройство дачного участка под ключ,ландшафтная компания эксперты,S1,S1,transactional,commercial_research,2,https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/,manual_review,hold_current_url,serp_pair_pending_review,pending,,same-service SERP pair meets the explicit manual-review threshold; the existing owner is held and no split or new URL is approved
