query_id,query,service_id,intent,region,device,checked_at,rank,url,canonical_url,title,source_file,method
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,1,https://exp76.ru/,https://exp76.ru/,Благоустройство участков под ключ в Рыбинске...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,2,https://exp76.ru/yaroslavl/,https://exp76.ru/yaroslavl/,Региональная страница услуг компании «Эксперты».,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,3,https://exp76.ru/services/,https://exp76.ru/services/,Услуги по благоустройству участков в Рыбинске...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,4,https://vk.ru/exp_76,https://vk.ru/exp_76/,"Ландшафтная Компания ""ЭКСПЕРТЫ"" | Уважаемые...",yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,5,https://www.instagram.com/exp_76/,https://instagram.com/exp_76/,Ссылка на instagram.com,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,6,https://ekspert76.orgs.biz/,https://ekspert76.orgs.biz/,Компания ЭКСПЕРТЫ - благоустройство участков,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,7,https://checko.ru/company/ehksperty-76-1197627013330,https://checko.ru/company/ehksperty-76-1197627013330/,"ООО ""ЭКСПЕРТЫ 76"" - Ярославль - ИНН 7606120330...",yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,8,https://engineering-experts.ru/kontakty/,https://engineering-experts.ru/kontakty/,Контакты — компания «Engineering Experts»,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,9,https://exp39.ru/,https://exp39.ru/,Независимая экспертиза,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,2026-08-20T20:49:08+03:00,10,https://user.fpst.ru/,https://user.fpst.ru/,Вход в Личный кабинет,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
