query_id,query,service_id,intent,region,device,destination_id,reason
Q000247,генеральный план участка ландшафтный дизайн цена,S1,transactional,Yaroslavl,desktop,S1-CHILD-MASTERPLAN,expanded_second_probe[S1-CHILD-MASTERPLAN]
Q000248,проект вертикальной планировки участка ландшафтный цена,S1,transactional,Yaroslavl,desktop,S1-CHILD-RELIEF,expanded_second_probe[S1-CHILD-RELIEF]
Q000249,рулонный газон с укладкой цена ярославль,S2,transactional,Yaroslavl,desktop,S2-CHILD-ROLL,expanded_second_probe[S2-CHILD-ROLL]
Q000250,устройство посевного газона цена ярославль,S2,transactional,Yaroslavl,desktop,S2-CHILD-SEED,expanded_second_probe[S2-CHILD-SEED]
Q000251,подготовка грунта под газон цена ярославль,S2,transactional,Yaroslavl,desktop,S2-CHILD-SOIL,expanded_second_probe[S2-CHILD-SOIL]
Q000252,ремонт и восстановление газона цена ярославль,S2,transactional,Yaroslavl,desktop,S2-CHILD-RESTORE,expanded_second_probe[S2-CHILD-RESTORE]
Q000253,обслуживание нового газона ярославль,S2,transactional,Yaroslavl,desktop,S2-CHILD-INITIAL-CARE,expanded_second_probe[S2-CHILD-INITIAL-CARE]
Q000254,подпорная стенка на участке с уклоном цена работы,S6,transactional,Yaroslavl,desktop,S6-CHILD-SLOPE,expanded_second_probe[S6-CHILD-SLOPE]
Q000255,бетонная подпорная стенка цена работы ярославль,S6,transactional,Yaroslavl,desktop,S6-CHILD-CONCRETE,expanded_second_probe[S6-CHILD-CONCRETE]
Q000256,подпорная стенка из камня цена работы ярославль,S6,transactional,Yaroslavl,desktop,S6-CHILD-STONE,expanded_second_probe[S6-CHILD-STONE]
Q000257,подпорная стенка из блоков цена работы ярославль,S6,transactional,Yaroslavl,desktop,S6-CHILD-BLOCKS,expanded_second_probe[S6-CHILD-BLOCKS]
Q000258,подпорная стенка из кирпича цена работы ярославль,S6,transactional,Yaroslavl,desktop,S6-CHILD-BRICK,expanded_second_probe[S6-CHILD-BRICK]
Q000259,проект освещения участка цена ярославль,S7,transactional,Yaroslavl,desktop,S7-CHILD-DESIGN,expanded_second_probe[S7-CHILD-DESIGN]
Q000260,монтаж подсветки садовых дорожек цена ярославль,S7,transactional,Yaroslavl,desktop,S7-CHILD-PATHS,expanded_second_probe[S7-CHILD-PATHS]
Q000261,монтаж ландшафтного освещения цена ярославль,S7,transactional,Yaroslavl,desktop,S7-CHILD-LANDSCAPE,expanded_second_probe[S7-CHILD-LANDSCAPE]
Q000262,архитектурная подсветка дома монтаж ярославль,S7,transactional,Yaroslavl,desktop,S7-CHILD-ARCHITECTURAL,expanded_second_probe[S7-CHILD-ARCHITECTURAL]
Q000263,охранное освещение участка монтаж ярославль,S7,transactional,Yaroslavl,desktop,S7-CHILD-SECURITY,expanded_second_probe[S7-CHILD-SECURITY]
Q000264,труба в канаву для въезда установка цена ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-PIPE,expanded_second_probe[S8-CHILD-PIPE]
Q000265,основание въезда на участок устройство ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-BASE,expanded_second_probe[S8-CHILD-BASE]
Q000266,щебеночный въезд на участок под ключ ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-GRAVEL,expanded_second_probe[S8-CHILD-GRAVEL]
Q000267,бетонный въезд через канаву цена ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-CONCRETE,expanded_second_probe[S8-CHILD-CONCRETE]
Q000268,оголовки въезда через канаву цена ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-HEADWALLS,expanded_second_probe[S8-CHILD-HEADWALLS]
Q000269,въезд через канаву из дорожных плит цена ярославль,S8,transactional,Yaroslavl,desktop,S8-CHILD-SLABS,expanded_second_probe[S8-CHILD-SLABS]
