query_id,query,service_id,intent,region,device,reason,status
Q000001,www exp76,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000002,www exp76 ru,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000004,благоустройство дачного участка под ключ,S1,transactional,Yaroslavl,desktop,turnkey_order[S1-G01],pending
Q000005,благоустройство участка,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000006,благоустройство участка участка ярославль,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,yaroslavl_geo[S1-G01],pending
Q000009,благоучтройство дачного участка в ярославской области,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000010,дизайн проект участка,S1,commercial_research,Yaroslavl,desktop,commercial_head[S1-G02],pending
Q000011,заказать дизайн проект участка,S1,transactional,Yaroslavl,desktop,turnkey_order[S1-G02],pending
Q000012,калькулятор расценок на работы по благоустройству территории,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000013,компании по ландшафтному дизайну рыбинск под ключ,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000014,компания exp76 отзывы,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000015,комплексное благоустройство частных территорий,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000016,ландшафтная компания эксперт,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000017,ландшафтная компания эксперты,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000018,ландшафтная компания эксперты рыбинск,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000019,ландшафтное проектирование участка,S1,commercial_research,Yaroslavl,desktop,commercial_head[S1-G03],pending
Q000020,ландшафтные работы рыбинск,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000021,ландшафтные работы это рыбинск,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000022,ландшафтный дизайн планировка участка,S1,commercial_research,Yaroslavl,desktop,commercial_head[S1-G05],pending
Q000023,ландшафтный дизайн рыбинск,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000024,ландшафтный дизайн участка,S1,commercial_research,Yaroslavl,desktop,commercial_head[S1-G04],pending
Q000025,ландшафтный дизайнер коприно,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000026,онлайн калькулятор для расчета стоимости работ по благоустройству,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000027,прейскурант цен на благоустройство придомовой территории в ярославской области,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000028,проект благоустройства участка,S1,commercial_research,Yaroslavl,desktop,commercial_head[S1-G01]|commercial_head[S1-G06],pending
Q000029,проекты придомовых территорий рыбинск,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000030,сайты благоустройства участков,S1,commercial_research,Yaroslavl,desktop,clicked,pending
Q000031,стоимость благоустройства территории за м2 калькулятор,S1,transactional,Yaroslavl,desktop,price[S1-G01],pending
Q000032,стоимость работ по благоустройству территории ярославль,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000033,стоимость реализации проекта обустройства частного участка в ярославской области компании,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000034,услуги по благоустройства участка брейтово,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000035,цены на работу по благоустройству,S1,transactional,Yaroslavl,desktop,clicked,pending
Q000036,эксперты 76,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000037,эксперты рыбинск,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000038,эксперты рыбинск ландшафтный,S1,brand_navigation,Yaroslavl,desktop,clicked,pending
Q000039,восстановление газона,S2,commercial_research,Yaroslavl,desktop,commercial_head[S2-G02],pending
Q000040,газон под ключ,S2,transactional,Yaroslavl,desktop,commercial_head[S2-G03]|turnkey_order[S2-G03],pending
Q000041,газон под ключ,S2,transactional,Yaroslavl,mobile,mobile_head_check,pending
Q000042,газон под ключ полесье ярославль,S2,transactional,Yaroslavl,desktop,turnkey_order[S2-G01],pending
Q000043,газон под ключ цена,S2,transactional,Yaroslavl,desktop,price[S2-G03],pending
Q000044,газон рулонный в рыбинске,S2,commercial_research,Yaroslavl,desktop,clicked,pending
Q000045,заказать рулонные газоны,S2,transactional,Yaroslavl,desktop,turnkey_order[S2-G05],pending
Q000046,полив газонов ярославль,S2,commercial_research,Yaroslavl,desktop,yaroslavl_geo[S2-G01],pending
Q000047,посевной газон,S2,commercial_research,Yaroslavl,desktop,commercial_head[S2-G04],pending
Q000048,посевной газон под ключ г ярославль ул магистральная 7 7,S2,transactional,Yaroslavl,desktop,yaroslavl_geo[S2-G03],pending
Q000049,посевной газон цена,S2,transactional,Yaroslavl,desktop,price[S2-G04],pending
Q000050,продам газон рулонный авито углич,S2,commercial_research,Yaroslavl,desktop,commercial_head[S2-G01],pending
Q000051,производитель рулонного газона в ярославской области,S2,product_only,Yaroslavl,desktop,clicked,pending
Q000052,рулонный газон,S2,commercial_research,Yaroslavl,desktop,commercial_head[S2-G05],pending
Q000053,рулонный газон купить в угличе,S2,product_only,Yaroslavl,desktop,clicked,pending
Q000054,рулонный газон цена,S2,transactional,Yaroslavl,desktop,price[S2-G05],pending
Q000055,рулонный газон ярославль,S2,commercial_research,Yaroslavl,desktop,yaroslavl_geo[S2-G05],pending
Q000056,укладка рулонного газона рыбинск,S2,commercial_research,Yaroslavl,desktop,commercial_head[S2-G06],pending
Q000057,устройство газона,S2,transactional,Yaroslavl,desktop,commercial_head[S2-G07],pending
Q000058,цена за метр раскатного газона,S2,transactional,Yaroslavl,desktop,price[S2-G01],pending
Q000059,дендролог в рыбинске,S3,commercial_research,Yaroslavl,desktop,clicked|commercial_head[S3-G01],pending
Q000060,заказать посадку дерева,S3,transactional,Yaroslavl,desktop,turnkey_order[S3-G03],pending
Q000061,озеленение участка,S3,commercial_research,Yaroslavl,desktop,commercial_head[S3-G02],pending
Q000062,озеленение участка под ключ и благоустройство ярославль,S3,transactional,Yaroslavl,desktop,turnkey_order[S3-G01]|yaroslavl_geo[S3-G01],pending
Q000063,посадка деревьев,S3,commercial_research,Yaroslavl,desktop,commercial_head[S3-G03],pending
Q000064,посадка крупномеров,S3,commercial_research,Yaroslavl,desktop,commercial_head[S3-G04],pending
Q000065,посадка кустарников,S3,commercial_research,Yaroslavl,desktop,commercial_head[S3-G05],pending
Q000066,посадка хвойных,S3,commercial_research,Yaroslavl,desktop,commercial_head[S3-G06],pending
Q000067,стоимость посадки деревьев,S3,transactional,Yaroslavl,desktop,price[S3-G03],pending
Q000068,услуги по выбору и посадке фруктовых деревьев в ярославле,S3,transactional,Yaroslavl,desktop,yaroslavl_geo[S3-G03],pending
Q000069,заказать обрезку деревьев,S4,transactional,Yaroslavl,desktop,turnkey_order[S4-G02],pending
Q000070,калькулятор работ садовых,S4,commercial_research,Yaroslavl,desktop,clicked,pending
Q000071,найти садовника на участок в рыбинске,S4,commercial_research,Yaroslavl,desktop,clicked|commercial_head[S4-G01],pending
