"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"калькулятор стоимости благоустройства участка","2026-07-20 - 2026-08-18","61.00","0.00","0.00","6.26","","1.00","0.00","0.00","14.00","0.00","0.00","2.21","","42.00","0.00","0.00","7.24","","4.00","0.00","0.00","11.50",""
"стоимость благоустройства территории за м2 калькулятор","2026-07-20 - 2026-08-18","38.00","0.00","0.00","8.26","","0.00","0.00","","0.00","0.00","","","","26.00","0.00","0.00","6.92","","12.00","0.00","0.00","11.17",""
"укладка тротуарной плитки цена","2026-07-20 - 2026-08-18","27.00","0.00","0.00","10.41","","0.00","0.00","","0.00","0.00","","","","14.00","0.00","0.00","9.00","","13.00","0.00","0.00","11.92",""
"сколько стоит дренаж участка 10 соток","2026-07-20 - 2026-08-18","22.00","0.00","0.00","19.68","","0.00","0.00","","4.00","0.00","0.00","2.00","","1.00","0.00","0.00","4.00","","17.00","0.00","0.00","24.76",""
"какая киянка нужна для укладки тротуарной плитки","2026-07-20 - 2026-08-18","17.00","0.00","0.00","8.06","","0.00","0.00","","1.00","0.00","0.00","3.00","","13.00","0.00","0.00","7.69","","3.00","0.00","0.00","11.33",""
"дренаж участка 6 соток","2026-07-20 - 2026-08-18","16.00","0.00","0.00","15.63","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","8.50","","11.00","0.00","0.00","19.36",""
"укладка тротуарной плитки ярославль цена за м2","2026-07-20 - 2026-08-18","15.00","1.00","6.67","9.53","8.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","7.56","8.00","6.00","0.00","0.00","12.50",""
"навес под машину в брейтово","2026-07-20 - 2026-08-18","14.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.22","","5.00","0.00","0.00","11.80",""
"дренаж участка 6 соток цена","2026-07-20 - 2026-08-18","11.00","0.00","0.00","27.91","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","9.00","0.00","0.00","32.44",""
"дренаж участка 10 соток","2026-07-20 - 2026-08-18","11.00","0.00","0.00","16.36","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","9.00","0.00","0.00","18.78",""
"стоимость дренажа участка 6 соток","2026-07-20 - 2026-08-18","10.00","0.00","0.00","21.70","","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","0.00","0.00","","","","8.00","0.00","0.00","26.63",""
"укладка брусочек для во дворе дома сколько стоит квадрат метр переславль залесский","2026-07-20 - 2026-08-18","8.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.71","","1.00","0.00","0.00","11.00",""
"дренаж участка ярославль","2026-07-20 - 2026-08-18","8.00","0.00","0.00","7.25","","0.00","0.00","","1.00","0.00","0.00","3.00","","7.00","0.00","0.00","7.86","","0.00","0.00","","",""
"сделать отмостку ярославль","2026-07-20 - 2026-08-18","7.00","1.00","14.29","5.00","5.00","0.00","0.00","","0.00","0.00","","","","7.00","1.00","14.29","5.00","5.00","0.00","0.00","","",""
"ландшафтный дизайн рыбинск","2026-07-20 - 2026-08-18","7.00","1.00","14.29","9.29","8.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","8.20","8.00","2.00","0.00","0.00","12.00",""
"благоустройство участка","2026-07-20 - 2026-08-18","7.00","1.00","14.29","9.71","11.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.00","","3.00","1.00","33.33","12.00","11.00"
"дренаж ярославль","2026-07-20 - 2026-08-18","7.00","0.00","0.00","13.86","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","7.00","0.00","0.00","13.86",""
"схема дренажа на участке 10 соток","2026-07-20 - 2026-08-18","7.00","0.00","0.00","8.86","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.80","","2.00","0.00","0.00","11.50",""
"можно ли класть тротуарную плитку на старую плитку","2026-07-20 - 2026-08-18","6.00","2.00","33.33","2.33","1.50","1.00","1.00","100.00","5.00","1.00","20.00","2.60","2.00","0.00","0.00","","","","0.00","0.00","","",""
"отмостка ярославль","2026-07-20 - 2026-08-18","6.00","1.00","16.67","5.50","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","5.00","0.00","0.00","6.00","","0.00","0.00","","",""
"правильно переложить старую тротуарную плитку","2026-07-20 - 2026-08-18","6.00","0.00","0.00","9.83","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.40","","1.00","0.00","0.00","12.00",""
"ярославль организации по ремонту отмостки","2026-07-20 - 2026-08-18","5.00","2.00","40.00","7.20","9.00","1.00","0.00","0.00","0.00","0.00","","","","4.00","2.00","50.00","8.75","9.00","0.00","0.00","","",""
"пушкино 39 рыбинск","2026-07-20 - 2026-08-18","5.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.00","","0.00","0.00","","",""
"выравнивание участка авито рыбинск","2026-07-20 - 2026-08-18","5.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","6.00","","0.00","0.00","","",""
"дренаж участка 6 соток под ключ","2026-07-20 - 2026-08-18","5.00","0.00","0.00","29.20","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","29.20",""
"выкорчевка деревьев на участке ярославль и область","2026-07-20 - 2026-08-18","5.00","0.00","0.00","11.80","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","4.00","0.00","0.00","12.75",""
"ливневые канализации ярославль","2026-07-20 - 2026-08-18","5.00","1.00","20.00","6.40","4.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","6.40","4.00","0.00","0.00","","",""
"цена дренажа за метр работы","2026-07-20 - 2026-08-18","5.00","0.00","0.00","5.20","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","5.20","","0.00","0.00","","",""
"переславль. садовые дорожки сделать","2026-07-20 - 2026-08-18","5.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.00","","0.00","0.00","","",""
"отмостка вокруг дома цена под ключ в переславле залесском","2026-07-20 - 2026-08-18","5.00","0.00","0.00","3.80","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","4.00","","0.00","0.00","","",""
"дренаж вокруг дома рыбинск","2026-07-20 - 2026-08-18","5.00","0.00","0.00","4.40","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","4.75","","0.00","0.00","","",""
"как положить тротуарную плитку на старую плитку","2026-07-20 - 2026-08-18","5.00","1.00","20.00","3.60","9.00","1.00","0.00","0.00","2.00","0.00","0.00","2.00","","2.00","1.00","50.00","6.50","9.00","0.00","0.00","","",""
"заезд на участок через канаву в тутаеве","2026-07-20 - 2026-08-18","5.00","2.00","40.00","5.60","4.50","0.00","0.00","","0.00","0.00","","","","5.00","2.00","40.00","5.60","4.50","0.00","0.00","","",""
"ракурс дренаж ярославль","2026-07-20 - 2026-08-18","5.00","0.00","0.00","38.60","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","38.60",""
"планировка участка ярославль","2026-07-20 - 2026-08-18","4.00","1.00","25.00","11.75","12.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","1.00","33.33","12.33","12.00"
"какая нужна киянка для укладки тротуарной плитки","2026-07-20 - 2026-08-18","4.00","0.00","0.00","8.75","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.75","","0.00","0.00","","",""
"планировка участка рыбинск","2026-07-20 - 2026-08-18","4.00","0.00","0.00","3.75","","0.00","0.00","","1.00","0.00","0.00","3.00","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"почему стоит вода на участке после дождя","2026-07-20 - 2026-08-18","4.00","0.00","0.00","6.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.25","","0.00","0.00","","",""
"какую киянку выбрать для укладки тротуарной плитки","2026-07-20 - 2026-08-18","4.00","1.00","25.00","14.25","20.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","1.00","33.33","15.67","20.00"
"сколько стоит выложить тротуарную плитку 1 кв метр","2026-07-20 - 2026-08-18","4.00","0.00","0.00","6.75","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.75","","0.00","0.00","","",""
"можно ли класть тротуарную плитку на старую","2026-07-20 - 2026-08-18","4.00","0.00","0.00","2.75","","0.00","0.00","","3.00","0.00","0.00","2.33","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"укладка плитки бордюрной в переславле","2026-07-20 - 2026-08-18","4.00","0.00","0.00","8.75","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
