"run_type","service_id","seed","target_url","region","device","row_count","status","source_url","collected_at","collection_method"
"seed","S2","газон под ключ","","Ярославская область","all","18","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S6","подпорная стенка на участке","","Ярославская область","all","1","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%B5%D0%BD%D0%BA%D0%B0%20%D0%BD%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B5&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S7","освещение участка","","Ярославская область","all","1","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S3","посадка деревьев","","Ярославская область","all","15","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S4","уход за садом","","Ярославская область","all","2","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D1%83%D1%85%D0%BE%D0%B4%20%D0%B7%D0%B0%20%D1%81%D0%B0%D0%B4%D0%BE%D0%BC&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S5","планировка участка","","Ярославская область","all","58","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S8","въезд через канаву","","Ярославская область","all","0","zero_results","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%B2%D1%8A%D0%B5%D0%B7%D0%B4%20%D1%87%D0%B5%D1%80%D0%B5%D0%B7%20%D0%BA%D0%B0%D0%BD%D0%B0%D0%B2%D1%83&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"seed","S1","ландшафтное проектирование участка","","Ярославская область","all","1","captured","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","2026-08-20T18:45:05.501+03:00","native_xlsx_and_dom"
"url","S1","","https://exp76.ru/services/landshaftnoe-proektirovanie/","Ярославская область","all","0","zero_results","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&userQueries=SITES&rivals=GENERAL&mode=URL_GROUP&tab=GENERAL&regions=10841&query=%D0%BF%D1%8B%D0%BB%D0%B5%D1%81%D0%BE%D1%81&urls=https%3A%2F%2Fexp76.ru%2Fservices%2Flandshaftnoe-proektirovanie%2F","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
"url","S2","","https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/","Ярославская область","all","0","zero_results","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&userQueries=SITES&rivals=GENERAL&mode=URL_GROUP&tab=GENERAL&regions=10841&query=%D0%BF%D1%8B%D0%BB%D0%B5%D1%81%D0%BE%D1%81&urls=https%3A%2F%2Fexp76.ru%2Fservices%2Fgazon-posevnojj-i-gazon-rulonnyjj%2F","2026-08-20T18:45:05.501+03:00","dom_after_xlsx_export_failed"
