"query","demand","clicks","competition","yandex_cluster","source_url","region","device","collected_at"
"малиновое дерево посадка и уход в открытом грунте","3","3","умеренная","малиновое дерево","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"посадка деревьев на московском проспекте","0","2","нет данных","посадка деревьев на московском проспекте","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"деревья для аллеи и рядовых посадок","0","1","нет данных","деревья для аллеи и рядовых посадок","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"нарушения правил посадки деревьев у общего забора","0","1","нет данных","сосед посадил ёлки вплотную к меже участков нарушение или право","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сумах дерево посадка и уход в открытом грунте","1","1","умеренная","сумах дерево","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сценарий посадки деревьев","0","1","нет данных","сценарий посадки деревьев","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сегодня уже четвертая весна идет. этой весной решила расширить свои плантации и заодно и всем рассказать – потому, как вопросов мне всегда задают много. для посадки вешенки не подходят хвойные породы древесины. лучшими для посадки являются лиственные породы деревьев: тополь, яблоня, черешня, дуб, ольха, бук, каштан, ясен, клен, тополь, береза, осина, орех. особенно хорошо вешенка растет на ореховых","0","1","нет данных","как зарядить бревно мицелием вешенки","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"малиновое дерево посадка и уход","0","1","нет данных","малиновое дерево","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"посадка плодовых деревьев от границы соседнего участка сколько метров от границы","0","1","нет данных","правила посадки деревьев в снт","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"услуги по выбору и посадке фруктовых деревьев в ярославле","0","1","нет данных","услуги по выбору и посадке фруктовых деревьев в ярославле","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"посадка саженцев плодовых деревьев весной правильная","0","1","нет данных","как посадить","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"таблица совместимости посадки деревьев и кустарников плодовых","0","1","нет данных","таблица совместимости посадки деревьев и кустарников плодовых","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"как сохранить саженцы плодовых деревьев до посадки","0","1","нет данных","как сохранить саженцы до весны","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"красивые слова про посадке дерева в честь ветерана","0","1","нет данных","красивые слова про посадке дерева в честь ветерана","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"что положить в яму для плодовых деревьев при посадке","0","1","нет данных","удобрения в посадочную яму","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
