"service_id","seed","query_expr","region","kind","status","row_hint","download_seq","raw_file","source_url","collected_at","error"
"S1","ландшафтное проектирование участка","ландшафтное проектирование участка","Ярославль","broad","zero_results","0","","","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S1","ландшафтный дизайн участка","ландшафтный дизайн участка","Ярославль","broad","exported","140","1","top-001-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S1","проект благоустройства участка","проект благоустройства участка","Ярославль","broad","exported","1","2","top-002-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S1","дизайн проект участка","дизайн проект участка","Ярославль","broad","exported","9","3","top-003-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S2","газон под ключ","газон под ключ","Ярославль","broad","exported","1","4","top-004-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87","2026-08-20T18:45:05.501+03:00",""
"S2","рулонный газон","рулонный газон","Ярославль","broad","exported","70","5","top-005-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D1%80%D1%83%D0%BB%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD","2026-08-20T18:45:05.501+03:00",""
"S2","укладка рулонного газона","укладка рулонного газона","Ярославль","broad","zero_results","0","","","https://wordstat.yandex.ru/?region=16&view=table&words=%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%20%D1%80%D1%83%D0%BB%D0%BE%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S2","посевной газон","посевной газон","Ярославль","broad","exported","2","6","top-006-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BF%D0%BE%D1%81%D0%B5%D0%B2%D0%BD%D0%BE%D0%B9%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD","2026-08-20T18:45:05.501+03:00",""
"S2","устройство газона","устройство газона","Ярославль","broad","exported","8","7","top-007-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S2","восстановление газона","восстановление газона","Ярославль","broad","exported","1","8","top-008-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S3","посадка деревьев","посадка деревьев","Ярославль","broad","exported","103","9","top-009-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2","2026-08-20T18:45:05.501+03:00",""
"S3","посадка кустарников","посадка кустарников","Ярославль","broad","exported","59","10","top-010-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%BA%D1%83%D1%81%D1%82%D0%B0%D1%80%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2","2026-08-20T18:45:05.501+03:00",""
"S3","посадка хвойных","посадка хвойных","Ярославль","broad","exported","12","11","top-011-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D1%85%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B%D1%85","2026-08-20T18:45:05.501+03:00",""
"S3","озеленение участка","озеленение участка","Ярославль","broad","exported","16","12","top-012-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=table&words=%D0%BE%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
