Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ландшафтное проектирование участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;2;0,0000035;
ноябрь 2024;1;0,0000017;
декабрь 2024;0;0;
январь 2025;1;0,0000017;
февраль 2025;0;0;
март 2025;3;0,0000048;
апрель 2025;4;0,0000069;
май 2025;2;0,0000039;
июнь 2025;2;0,0000045;
июль 2025;0;0;
август 2025;1;0,0000026;
сентябрь 2025;0;0;
октябрь 2025;0;0;
ноябрь 2025;1;0,0000023;
декабрь 2025;0;0;
январь 2026;0;0;
февраль 2026;0;0;
март 2026;0;0;
апрель 2026;6;0,0000150;
май 2026;3;0,0000081;
июнь 2026;1;0,0000025;
июль 2026;2;0,0000047;
