Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ландшафтное проектирование участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;2;0,00000251;
сентябрь 2024;0;0;
октябрь 2024;3;0,00000311;
ноябрь 2024;1;0,00000099;
декабрь 2024;4;0,00000384;
январь 2025;1;0,00000096;
февраль 2025;0;0;
март 2025;4;0,00000383;
апрель 2025;11;0,00001098;
май 2025;3;0,00000322;
июнь 2025;2;0,00000224;
июль 2025;1;0,00000109;
август 2025;3;0,00000329;
сентябрь 2025;2;0,00000204;
октябрь 2025;6;0,00000571;
ноябрь 2025;1;0,00000098;
декабрь 2025;1;0,00000099;
январь 2026;0;0;
февраль 2026;4;0,00000477;
март 2026;11;0,00001125;
апрель 2026;45;0,00004462;
май 2026;11;0,00001173;
июнь 2026;2;0,00000210;
июль 2026;3;0,00000287;
