Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «газон под ключ», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;5;0,0000156;
сентябрь 2024;4;0,0000106;
октябрь 2024;8;0,0000143;
ноябрь 2024;6;0,0000103;
декабрь 2024;0;0;
январь 2025;3;0,0000051;
февраль 2025;1;0,0000017;
март 2025;10;0,0000163;
апрель 2025;1;0,0000017;
май 2025;19;0,0000370;
июнь 2025;7;0,0000160;
июль 2025;89;0,0002295;
август 2025;126;0,0003395;
сентябрь 2025;14;0,0000337;
октябрь 2025;0;0;
ноябрь 2025;0;0;
декабрь 2025;0;0;
январь 2026;0;0;
февраль 2026;0;0;
март 2026;1;0,0000026;
апрель 2026;3;0,0000075;
май 2026;2;0,0000054;
июнь 2026;4;0,0000103;
июль 2026;2;0,0000047;
