Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «газон под ключ», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;20;0,00002516;
сентябрь 2024;7;0,00000831;
октябрь 2024;9;0,00000933;
ноябрь 2024;7;0,00000699;
декабрь 2024;0;0;
январь 2025;3;0,00000289;
февраль 2025;1;0,00000101;
март 2025;13;0,00001247;
апрель 2025;8;0,00000798;
май 2025;75;0,00008063;
июнь 2025;20;0,00002241;
июль 2025;115;0,00012561;
август 2025;134;0,00014716;
сентябрь 2025;17;0,00001736;
октябрь 2025;2;0,00000190;
ноябрь 2025;1;0,00000098;
декабрь 2025;2;0,00000199;
январь 2026;2;0,00000215;
февраль 2026;3;0,00000358;
март 2026;1;0,00000102;
апрель 2026;6;0,00000594;
май 2026;7;0,00000746;
июнь 2026;15;0,00001576;
июль 2026;8;0,00000765;
