Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «посадка деревьев», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;54;0,00016;
сентябрь 2024;96;0,00025;
октябрь 2024;181;0,00032;
ноябрь 2024;110;0,00018;
декабрь 2024;131;0,00021;
январь 2025;150;0,00025;
февраль 2025;113;0,00019;
март 2025;170;0,00027;
апрель 2025;324;0,00056;
май 2025;250;0,00048;
июнь 2025;167;0,00038;
июль 2025;113;0,00029;
август 2025;104;0,00028;
сентябрь 2025;213;0,00051;
октябрь 2025;147;0,00031;
ноябрь 2025;140;0,00033;
декабрь 2025;103;0,00025;
январь 2026;56;0,00017;
февраль 2026;108;0,00034;
март 2026;108;0,00028;
апрель 2026;182;0,00045;
май 2026;233;0,00063;
июнь 2026;156;0,00040;
июль 2026;96;0,00023;
