Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «посадка деревьев», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;210;0,00026;
сентябрь 2024;289;0,00034;
октябрь 2024;351;0,00036;
ноябрь 2024;257;0,00025;
декабрь 2024;193;0,00018;
январь 2025;292;0,00028;
февраль 2025;208;0,00021;
март 2025;455;0,00043;
апрель 2025;662;0,00066;
май 2025;712;0,00076;
июнь 2025;399;0,00044;
июль 2025;265;0,00028;
август 2025;278;0,00030;
сентябрь 2025;577;0,00058;
октябрь 2025;412;0,00039;
ноябрь 2025;324;0,00031;
декабрь 2025;353;0,00035;
январь 2026;202;0,00021;
февраль 2026;357;0,00042;
март 2026;342;0,00034;
апрель 2026;541;0,00053;
май 2026;757;0,00080;
июнь 2026;450;0,00047;
июль 2026;279;0,00026;
