Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «уход за садом», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;18;0,000056;
сентябрь 2024;21;0,000055;
октябрь 2024;26;0,000046;
ноябрь 2024;41;0,000070;
декабрь 2024;22;0,000036;
январь 2025;19;0,000032;
февраль 2025;26;0,000045;
март 2025;38;0,000062;
апрель 2025;30;0,000051;
май 2025;61;0,000119;
июнь 2025;24;0,000055;
июль 2025;30;0,000077;
август 2025;30;0,000080;
сентябрь 2025;16;0,000038;
октябрь 2025;28;0,000060;
ноябрь 2025;5;0,000011;
декабрь 2025;16;0,000039;
январь 2026;15;0,000045;
февраль 2026;19;0,000061;
март 2026;25;0,000065;
апрель 2026;30;0,000075;
май 2026;41;0,000111;
июнь 2026;15;0,000038;
июль 2026;27;0,000064;
