Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «уход за садом», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;67;0,000084;
сентябрь 2024;80;0,000095;
октябрь 2024;66;0,000068;
ноябрь 2024;101;0,000100;
декабрь 2024;42;0,000040;
январь 2025;36;0,000034;
февраль 2025;54;0,000054;
март 2025;58;0,000055;
апрель 2025;71;0,000070;
май 2025;96;0,000103;
июнь 2025;76;0,000085;
июль 2025;67;0,000073;
август 2025;95;0,000104;
сентябрь 2025;73;0,000074;
октябрь 2025;64;0,000060;
ноябрь 2025;36;0,000035;
декабрь 2025;25;0,000024;
январь 2026;38;0,000040;
февраль 2026;42;0,000050;
март 2026;66;0,000067;
апрель 2026;86;0,000085;
май 2026;81;0,000086;
июнь 2026;47;0,000049;
июль 2026;54;0,000051;
