Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «планировка участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;150;0,00046;
сентябрь 2024;203;0,00053;
октябрь 2024;171;0,00030;
ноябрь 2024;133;0,00022;
декабрь 2024;157;0,00025;
январь 2025;197;0,00034;
февраль 2025;172;0,00030;
март 2025;256;0,00041;
апрель 2025;287;0,00049;
май 2025;330;0,00064;
июнь 2025;223;0,00051;
июль 2025;265;0,00068;
август 2025;252;0,00067;
сентябрь 2025;140;0,00033;
октябрь 2025;195;0,00042;
ноябрь 2025;100;0,00023;
декабрь 2025;73;0,00018;
январь 2026;74;0,00022;
февраль 2026;57;0,00018;
март 2026;111;0,00029;
апрель 2026;212;0,00053;
май 2026;223;0,00060;
июнь 2026;211;0,00054;
июль 2026;208;0,00049;
