Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «планировка участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;411;0,00051;
сентябрь 2024;462;0,00054;
октябрь 2024;333;0,00034;
ноябрь 2024;240;0,00023;
декабрь 2024;231;0,00022;
январь 2025;387;0,00037;
февраль 2025;374;0,00037;
март 2025;533;0,00051;
апрель 2025;538;0,00053;
май 2025;660;0,00070;
июнь 2025;603;0,00067;
июль 2025;573;0,00062;
август 2025;549;0,00060;
сентябрь 2025;408;0,00041;
октябрь 2025;441;0,00041;
ноябрь 2025;288;0,00028;
декабрь 2025;165;0,00016;
январь 2026;206;0,00022;
февраль 2026;187;0,00022;
март 2026;291;0,00029;
апрель 2026;564;0,00055;
май 2026;675;0,00072;
июнь 2026;554;0,00058;
июль 2026;532;0,00050;
