Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «подпорная стенка на участке», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;4;0,0000125;
сентябрь 2024;3;0,0000079;
октябрь 2024;1;0,0000017;
ноябрь 2024;5;0,0000086;
декабрь 2024;6;0,0000098;
январь 2025;5;0,0000086;
февраль 2025;5;0,0000087;
март 2025;4;0,0000065;
апрель 2025;9;0,0000155;
май 2025;11;0,0000214;
июнь 2025;15;0,0000343;
июль 2025;9;0,0000232;
август 2025;8;0,0000215;
сентябрь 2025;2;0,0000048;
октябрь 2025;10;0,0000216;
ноябрь 2025;1;0,0000023;
декабрь 2025;1;0,0000024;
январь 2026;1;0,0000030;
февраль 2026;1;0,0000032;
март 2026;4;0,0000105;
апрель 2026;4;0,0000100;
май 2026;5;0,0000135;
июнь 2026;2;0,0000051;
июль 2026;6;0,0000143;
