Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «подпорная стенка на участке», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;21;0,0000264;
сентябрь 2024;21;0,0000249;
октябрь 2024;11;0,0000114;
ноябрь 2024;9;0,0000089;
декабрь 2024;9;0,0000086;
январь 2025;6;0,0000057;
февраль 2025;9;0,0000091;
март 2025;18;0,0000172;
апрель 2025;19;0,0000189;
май 2025;17;0,0000182;
июнь 2025;23;0,0000257;
июль 2025;19;0,0000207;
август 2025;13;0,0000142;
сентябрь 2025;13;0,0000132;
октябрь 2025;15;0,0000142;
ноябрь 2025;2;0,0000019;
декабрь 2025;4;0,0000039;
январь 2026;6;0,0000064;
февраль 2026;8;0,0000095;
март 2026;4;0,0000040;
апрель 2026;22;0,0000218;
май 2026;9;0,0000096;
июнь 2026;15;0,0000157;
июль 2026;23;0,0000220;
