Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «освещение участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;18;0,0000563;
сентябрь 2024;21;0,0000558;
октябрь 2024;25;0,0000449;
ноябрь 2024;26;0,0000447;
декабрь 2024;32;0,0000525;
январь 2025;22;0,0000380;
февраль 2025;32;0,0000558;
март 2025;32;0,0000522;
апрель 2025;60;0,0001038;
май 2025;57;0,0001112;
июнь 2025;33;0,0000756;
июль 2025;25;0,0000644;
август 2025;8;0,0000215;
сентябрь 2025;19;0,0000458;
октябрь 2025;27;0,0000583;
ноябрь 2025;32;0,0000763;
декабрь 2025;23;0,0000573;
январь 2026;3;0,0000091;
февраль 2026;8;0,0000257;
март 2026;15;0,0000395;
апрель 2026;32;0,0000805;
май 2026;21;0,0000570;
июнь 2026;14;0,0000363;
июль 2026;13;0,0000311;
