Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «освещение участка», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;57;0,000071;
сентябрь 2024;52;0,000061;
октябрь 2024;55;0,000057;
ноябрь 2024;40;0,000039;
декабрь 2024;45;0,000043;
январь 2025;41;0,000039;
февраль 2025;54;0,000054;
март 2025;55;0,000052;
апрель 2025;110;0,000109;
май 2025;87;0,000093;
июнь 2025;61;0,000068;
июль 2025;58;0,000063;
август 2025;41;0,000045;
сентябрь 2025;72;0,000073;
октябрь 2025;53;0,000050;
ноябрь 2025;76;0,000074;
декабрь 2025;44;0,000043;
январь 2026;15;0,000016;
февраль 2026;18;0,000021;
март 2026;41;0,000041;
апрель 2026;74;0,000073;
май 2026;44;0,000046;
июнь 2026;49;0,000051;
июль 2026;45;0,000043;
