Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «въезд через канаву», по месяцам, 01.08.2024 — 31.07.2026, Ярославль, все устройства
август 2024;0;0;
сентябрь 2024;6;0,0000159;
октябрь 2024;6;0,0000107;
ноябрь 2024;1;0,0000017;
декабрь 2024;0;0;
январь 2025;4;0,0000069;
февраль 2025;0;0;
март 2025;4;0,0000065;
апрель 2025;15;0,0000259;
май 2025;8;0,0000156;
июнь 2025;1;0,0000022;
июль 2025;4;0,0000103;
август 2025;4;0,0000107;
сентябрь 2025;10;0,0000241;
октябрь 2025;3;0,0000064;
ноябрь 2025;5;0,0000119;
декабрь 2025;0;0;
январь 2026;0;0;
февраль 2026;2;0,0000064;
март 2026;1;0,0000026;
апрель 2026;15;0,0000377;
май 2026;7;0,0000190;
июнь 2026;12;0,0000311;
июль 2026;4;0,0000095;
