Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «въезд через канаву», по месяцам, 01.08.2024 — 31.07.2026, Ярославская область, все устройства
август 2024;9;0,00001132;
сентябрь 2024;36;0,00004275;
октябрь 2024;12;0,00001244;
ноябрь 2024;1;0,00000099;
декабрь 2024;1;0,00000096;
январь 2025;8;0,00000771;
февраль 2025;6;0,00000608;
март 2025;11;0,00001055;
апрель 2025;17;0,00001697;
май 2025;21;0,00002257;
июнь 2025;10;0,00001120;
июль 2025;25;0,00002730;
август 2025;6;0,00000658;
сентябрь 2025;20;0,00002043;
октябрь 2025;12;0,00001142;
ноябрь 2025;20;0,00001968;
декабрь 2025;6;0,00000597;
январь 2026;5;0,00000539;
февраль 2026;2;0,00000238;
март 2026;8;0,00000818;
апрель 2026;29;0,00002875;
май 2026;31;0,00003307;
июнь 2026;25;0,00002627;
июль 2026;31;0,00002966;
