"service_id","seed","region","kind","status","download_seq","raw_file","source_url","collected_at","error"
"S1","ландшафтное проектирование участка","Ярославль","dynamics","exported","0","dynamics-001-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=graph&words=%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S1","ландшафтное проектирование участка","Ярославская область","dynamics","exported","1","dynamics-002-2026-08-20.csv","https://wordstat.yandex.ru/?region=10841&view=graph&words=%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S2","газон под ключ","Ярославль","dynamics","exported","2","dynamics-003-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=graph&words=%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87","2026-08-20T18:45:05.501+03:00",""
"S2","газон под ключ","Ярославская область","dynamics","exported","3","dynamics-004-2026-08-20.csv","https://wordstat.yandex.ru/?region=10841&view=graph&words=%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87","2026-08-20T18:45:05.501+03:00",""
"S3","посадка деревьев","Ярославль","dynamics","exported","4","dynamics-005-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=graph&words=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2","2026-08-20T18:45:05.501+03:00",""
"S3","посадка деревьев","Ярославская область","dynamics","exported","5","dynamics-006-2026-08-20.csv","https://wordstat.yandex.ru/?region=10841&view=graph&words=%D0%BF%D0%BE%D1%81%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8C%D0%B5%D0%B2","2026-08-20T18:45:05.501+03:00",""
"S4","уход за садом","Ярославль","dynamics","exported","6","dynamics-007-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=graph&words=%D1%83%D1%85%D0%BE%D0%B4%20%D0%B7%D0%B0%20%D1%81%D0%B0%D0%B4%D0%BE%D0%BC","2026-08-20T18:45:05.501+03:00",""
"S4","уход за садом","Ярославская область","dynamics","exported","7","dynamics-008-2026-08-20.csv","https://wordstat.yandex.ru/?region=10841&view=graph&words=%D1%83%D1%85%D0%BE%D0%B4%20%D0%B7%D0%B0%20%D1%81%D0%B0%D0%B4%D0%BE%D0%BC","2026-08-20T18:45:05.501+03:00",""
"S5","планировка участка","Ярославль","dynamics","exported","8","dynamics-009-2026-08-20.csv","https://wordstat.yandex.ru/?region=16&view=graph&words=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
"S5","планировка участка","Ярославская область","dynamics","exported","9","dynamics-010-2026-08-20.csv","https://wordstat.yandex.ru/?region=10841&view=graph&words=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0","2026-08-20T18:45:05.501+03:00",""
