pair_id,decision,review_status,reviewer,rationale,evidence_note
PAIR-2DBC55B17F37,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство в рыбинске"" targets комплексное благоустройство участка, while ""ландшафтный дизайн рыбинск"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[marketplace_directory:1,service_landing:3,topic_landing:6];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[marketplace_directory:1,service_landing:3,topic_landing:6];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000003/Q000023; shared URLs=https://avito.ru/rybinsk/predlozheniya_uslug/|https://exp76.ru/."
PAIR-CDD6D30D005E,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""благоустройство участка"" (комплексное благоустройство участка) converge on one canonical answer; overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3]; stored top-10 result types and query wording support one service page.","overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3]; stored queries Q000004/Q000005; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/."
PAIR-BD34C52AC9BF,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) converge on one canonical answer; overlap=5/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2]; stored top-10 result types and query wording support one service page.","overlap=5/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2]; stored queries Q000004/Q000006; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.dizajn-landshaftnyj.ru/blagoustrojstvo-uchastka/."
PAIR-D66CE5353E52,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""благоустройство участка ярославская область"" (комплексное благоустройство участка) converge on one canonical answer; overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:2,service_landing:5,topic_landing:3]; stored top-10 result types and query wording support one service page.","overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:2,service_landing:5,topic_landing:3]; stored queries Q000004/Q000007; shared URLs=https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/."
PAIR-A3A22B222A69,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""благоустройство участков ярославль"" (комплексное благоустройство участка) converge on one canonical answer; overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:1,marketplace_directory:2,service_landing:6,topic_landing:1]; stored top-10 result types and query wording support one service page.","overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:1,marketplace_directory:2,service_landing:6,topic_landing:1]; stored queries Q000004/Q000008; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/."
PAIR-085510987278,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""благоучтройство дачного участка в ярославской области"" (комплексное благоустройство участка) converge on one canonical answer; overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:2,service_landing:8]; stored top-10 result types and query wording support one service page.","overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:2,service_landing:8]; stored queries Q000004/Q000009; shared URLs=https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.dizajn-landshaftnyj.ru/blagoustrojstvo-uchastka/."
PAIR-09F402336907,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство дачного участка под ключ"" targets комплексное благоустройство участка, while ""дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored queries Q000004/Q000010; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.mslandshaft.ru/."
PAIR-1A2555073A36,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство дачного участка под ключ"" targets комплексное благоустройство участка, while ""заказать дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored queries Q000004/Q000011; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.mslandshaft.ru/."
PAIR-BEBF5AFB9C26,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""комплексное благоустройство частных территорий"" (комплексное благоустройство участка) converge on one canonical answer; overlap=5/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:3,service_landing:5,topic_landing:2]; stored top-10 result types and query wording support one service page.","overlap=5/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:3,service_landing:5,topic_landing:2]; stored queries Q000004/Q000015; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/|https://yaroslavl.mslandshaft.ru/."
PAIR-A3BB22B223E1,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""ландшафтная компания эксперты"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000004/Q000017; shared URLs=https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-D9A358CB238B,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство дачного участка под ключ"" targets комплексное благоустройство участка, while ""ландшафтное проектирование участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:2,marketplace_directory:3,service_landing:1,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:2,marketplace_directory:3,service_landing:1,topic_landing:4]; stored queries Q000004/Q000019; shared URLs=https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.mslandshaft.ru/."
